French,English
partie,part
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
mettre,to put
aucun,no
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
venez,come
devant,in front of
vers,towards
demandé,request
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
filles,girls
bureau,office
